example_id,TARGET
13000,0.8000000137278225
13001,0.7999999137273565
13002,0.7999996137269163
13003,0.7999991137265767
13004,0.7999984137264629
13005,0.7999975137267495
13006,0.7999964137276621
13007,0.7999951137294753
13008,0.7999936137325141
13009,0.7999919137371536
13010,0.7999900137438188
13011,0.7999879137529847
13012,0.7999856137651764
13013,0.7999831137809688
13014,0.7999804138009866
13015,0.7999775138259052
13016,0.7999744138564495
13017,0.7999711138933945
13018,0.7999676139375651
13019,0.7999639139898364
13020,0.7999600140511332
13021,0.7999559141224307
13022,0.7999516142047537
13023,0.7999471142991773
13024,0.7999424144068266
13025,0.7999375145288762
13026,0.7999324146665513
13027,0.799927114821127
13028,0.7999216149939281
13029,0.7999159151863294
13030,0.7999100153997563
13031,0.7999039156356832
13032,0.7998976158956355
13033,0.7998911161811878
13034,0.7998844164939654
13035,0.7998775168356428
13036,0.799870417207945
13037,0.7998631176126473
13038,0.7998556180515741
13039,0.7998479185266006
13040,0.7998400190396516
13041,0.799831919592702
13042,0.7998236201877765
13043,0.7998151208269502
13044,0.7998064215123477
13045,0.7997975222461441
13046,0.799788423030564
13047,0.7997791238678821
13048,0.7997696247604236
13049,0.7997599257105628
13050,0.7997500267207247
13051,0.7997399277933842
13052,0.7997296289310658
13053,0.7997191301363443
13054,0.7997084314118443
13055,0.7996975327602407
13056,0.799686434184258
13057,0.7996751356866709
13058,0.7996636372703039
13059,0.7996519389380318
13060,0.7996400406927789
13061,0.7996279425375202
13062,0.7996156444752798
13063,0.7996031465091324
13064,0.7995904486422026
13065,0.7995775508776647
13066,0.7995644532187431
13067,0.7995511556687126
13068,0.7995376582308971
13069,0.7995239609086712
13070,0.7995100637054592
13071,0.7994959666247353
13072,0.799481669670024
13073,0.7994671728448992
13074,0.7994524761529855
13075,0.7994375795979568
13076,0.7994224831835374
13077,0.7994071869135012
13078,0.7993916907916725
13079,0.7993759948219251
13080,0.7993600990081832
13081,0.7993440033544207
13082,0.7993277078646613
13083,0.7993112125429792
13084,0.7992945173934981
13085,0.7992776224203917
13086,0.7992605276278838
13087,0.7992432330202482
13088,0.7992257386018085
13089,0.7992080443769382
13090,0.7991901503500608
13091,0.79917205652565
13092,0.7991537629082293
13093,0.7991352695023719
13094,0.7991165763127013
13095,0.7990976833438905
13096,0.7990785906006633
13097,0.7990592980877924
13098,0.7990398058101011
13099,0.7990201137724625
13100,0.7990002219797996
13101,0.7989801304370852
13102,0.7989598391493425
13103,0.7989393481216439
13104,0.7989186573591125
13105,0.7988977668669209
13106,0.7988766766502917
13107,0.7988553867144974
13108,0.7988338970648606
13109,0.7988122077067537
13110,0.7987903186455989
13111,0.7987682298868686
13112,0.7987459414360848
13113,0.7987234532988199
13114,0.7987007654806957
13115,0.7986778779873843
13116,0.7986547908246074
13117,0.7986315039981371
13118,0.7986080175137948
13119,0.7985843313774523
