id,GLOBAL_SCORE
EK202310003556,119.80192827429019
EK202310170625,155.65111613210485
EK202310167359,151.54135238336852
EK202310118370,135.256692424148
EK202320006361,160.03352446942424
EK202310003542,139.25236429422358
EK202310125266,147.10813535732532
EK202310144740,133.47497019325405
EK202310137443,143.73494734640553
EK202310159067,154.7741930126383
EK202310245067,135.3396793341956
EK202310240556,127.18147751559981
EK202310166743,147.2547714331715
EK202310247454,118.7477361010134
EK202310215702,149.61958746489591
EK202310142190,152.96456285591177
EK202310205417,132.23447168678138
EK202310119601,137.69678401285842
EK202310190356,128.4392810092829
EK202310158758,137.58062350875863
EK202310145496,126.31422488875432
EK202310164763,141.2654528743556
EK202310200188,133.93277009657783
EK202310238803,153.1651252965335
EK202320005607,166.28490505496643
EK202310225681,144.62843629078733
EK202310127174,128.5626601000974
EK202310204317,147.01860054290387
EK202310179355,135.2781622752759
EK202310176524,156.38669383365922
EK202310237228,139.3149701522061
EK202310172549,161.84793638682473
EK202310168863,132.91406371131697
EK202310185904,154.85586660228992
EK202310133615,160.0424768604658
EK202310122063,130.24004840410998
EK202310121770,140.9418852202305
EK202310125590,129.07157519397032
EK202310172269,130.81186229203863
EK202310147894,133.6104273678681
EK202310137986,136.2267773434942
EK202310150838,136.71643311931555
EK202310104915,136.8333265191013
EK202310170090,127.0364706754803
EK202310165637,138.05667733114927
EK202310134467,132.2423464973333
EK202310182637,156.66042676009832
EK202310112116,147.9587604647623
EK202310241220,148.68283903251105
EK202310103801,146.23536309400995
EK202310177448,126.89527918697883
EK202310157860,174.22102802836255
EK202310211985,140.67852207478603
EK202310232907,133.51456941826822
EK202310162917,134.34262283828133
EK202310211786,128.74393278212926
EK202310132171,153.92429954679636
EK202310153694,149.5966516967784
EK202310174960,164.33245037604559
EK202310121096,125.35798905233979
EK202310222475,124.34698446690706
EK202310146254,153.9117804791973
EK202310111466,139.49529760639135
EK202310004385,169.64254888476566
EK202310108961,140.13256943286038
EK202310203170,134.81066379037887
EK202310161424,178.14259748811443
EK202310206583,137.6407760820187
EK202310138840,134.00852485744306
EK202310221976,143.88489159096002
EK202310143972,137.75576756236325
EK202310175420,136.28219632330044
EK202310227655,131.75850698493542
EK202310163389,141.04519559621917
EK202310239480,142.39942391969254
EK202310146467,142.6796285618182
EK202310162597,138.91638964976056
EK202310194862,143.20194324141747
EK202310152448,139.66944184655912
EK202310245431,146.89861912344662
EK202310206822,161.86334219161742
EK202310166559,164.1903089625408
EK202310221701,170.20639252241833
EK202310231403,123.09871232634195
EK202310156027,145.76953393584566
EK202310135956,142.57147148238195
EK202310183176,128.42829740152024
EK202310206055,164.42039494054325
EK202310167360,140.58676446888825
EK202310142701,142.749682230991
EK202310156629,167.7829493476856
EK202310241352,144.84483584432158
EK202310123587,155.77534021688706
EK202310003639,147.96956603834946
EK202310158269,154.05402102374072
EK202320007090,159.93737495384198
EK202310111707,135.48825995010708
EK202310104096,150.82545282556345
EK202310235404,114.74246130069508
EK202310108783,144.40330004256683
EK202310116298,139.5160238954353
EK202310156281,157.9478272848359
EK202310164483,133.07690933140475
EK202310108212,116.17010940269546
EK202310233950,136.17455242019713
EK202310157041,137.20767127058122
EK202310104522,136.1961141120815
EK202310175972,158.18258154781944
EK202310225965,142.41059671142426
EK202310138403,137.25030037673596
EK202310234452,139.7446183676095
EK202310104614,157.94902497947118
EK202310117970,133.34960056440454
EK202310128727,136.99516888773596
EK202310190230,141.5769210374087
EK202310201465,151.06789253583966
EK202310197534,160.185030780399
EK202310171846,125.7985953402042
EK202310193751,150.2498789116145
EK202310242967,138.53805124897883
EK202310112852,164.1051670402306
EK202310132804,149.295563859586
EK202310127612,143.44614250314322
EK202310136082,178.7772824126905
EK202310186665,161.88687810084326
EK202310156519,137.0755659851718
EK202310108430,146.8258186988283
EK202310164930,140.41551127500904
EK202310153971,158.5887524271266
EK202310129412,130.21471644312786
EK202310124383,132.60761243929753
EK202310215858,151.46335292697987
EK202310104131,147.93802439939816
EK202310185040,134.8073584613952
EK202310119251,150.2233671849351
EK202310191724,154.07674188010043
EK202310149922,126.0262029116221
EK202310176193,153.74386508090376
EK202310204311,150.25472169753024
