id,GLOBAL_SCORE
EK202310003556,0.0
EK202310170625,0.13333333333333333
EK202310167359,0.26666666666666666
EK202310118370,0.06666666666666667
EK202320006361,0.13333333333333333
EK202310003542,0.06666666666666667
EK202310125266,0.03333333333333333
EK202310144740,0.06666666666666667
EK202310137443,0.13333333333333333
EK202310159067,0.2
EK202310245067,0.0
EK202310240556,0.03333333333333333
EK202310166743,0.03333333333333333
EK202310247454,0.06666666666666667
EK202310215702,0.2
EK202310142190,0.2
EK202310205417,0.0
EK202310119601,0.06666666666666667
EK202310190356,0.03333333333333333
EK202310158758,0.1
EK202310145496,0.1
EK202310164763,0.06666666666666667
EK202310200188,0.06666666666666667
EK202310238803,0.4
EK202320005607,0.13333333333333333
EK202310225681,0.0
EK202310127174,0.03333333333333333
EK202310204317,0.16666666666666666
EK202310179355,0.0
EK202310176524,0.36666666666666664
EK202310237228,0.06666666666666667
EK202310172549,0.3333333333333333
EK202310168863,0.06666666666666667
EK202310185904,0.23333333333333334
EK202310133615,0.3
EK202310122063,0.0
EK202310121770,0.06666666666666667
EK202310125590,0.03333333333333333
EK202310172269,0.06666666666666667
EK202310147894,0.06666666666666667
EK202310137986,0.0
EK202310150838,0.03333333333333333
EK202310104915,0.06666666666666667
EK202310170090,0.0
EK202310165637,0.06666666666666667
EK202310134467,0.03333333333333333
EK202310182637,0.23333333333333334
EK202310112116,0.0
EK202310241220,0.2
EK202310103801,0.06666666666666667
EK202310177448,0.06666666666666667
EK202310157860,0.5333333333333333
EK202310211985,0.06666666666666667
EK202310232907,0.16666666666666666
EK202310162917,0.03333333333333333
EK202310211786,0.0
EK202310132171,0.23333333333333334
EK202310153694,0.3
EK202310174960,0.36666666666666664
EK202310121096,0.03333333333333333
EK202310222475,0.1
EK202310146254,0.16666666666666666
EK202310111466,0.03333333333333333
EK202310004385,0.3
EK202310108961,0.03333333333333333
EK202310203170,0.06666666666666667
EK202310161424,0.26666666666666666
EK202310206583,0.2
EK202310138840,0.03333333333333333
EK202310221976,0.0
EK202310143972,0.06666666666666667
EK202310175420,0.0
EK202310227655,0.1
EK202310163389,0.13333333333333333
EK202310239480,0.06666666666666667
EK202310146467,0.1
EK202310162597,0.06666666666666667
EK202310194862,0.06666666666666667
EK202310152448,0.2
EK202310245431,0.3
EK202310206822,0.5666666666666667
EK202310166559,0.6
EK202310221701,0.23333333333333334
EK202310231403,0.0
EK202310156027,0.1
EK202310135956,0.0
EK202310183176,0.03333333333333333
EK202310206055,0.7
EK202310167360,0.1
EK202310142701,0.06666666666666667
EK202310156629,0.3333333333333333
EK202310241352,0.13333333333333333
EK202310123587,0.13333333333333333
EK202310003639,0.06666666666666667
EK202310158269,0.06666666666666667
EK202320007090,0.26666666666666666
EK202310111707,0.0
EK202310104096,0.1
EK202310235404,0.0
EK202310108783,0.03333333333333333
EK202310116298,0.0
EK202310156281,0.2
EK202310164483,0.06666666666666667
EK202310108212,0.0
EK202310233950,0.06666666666666667
EK202310157041,0.0
EK202310104522,0.0
EK202310175972,0.16666666666666666
EK202310225965,0.03333333333333333
EK202310138403,0.1
EK202310234452,0.03333333333333333
EK202310104614,0.13333333333333333
EK202310117970,0.03333333333333333
EK202310128727,0.03333333333333333
EK202310190230,0.0
EK202310201465,0.1
EK202310197534,0.3333333333333333
EK202310171846,0.0
EK202310193751,0.16666666666666666
EK202310242967,0.06666666666666667
EK202310112852,0.43333333333333335
EK202310132804,0.13333333333333333
EK202310127612,0.06666666666666667
EK202310136082,0.6666666666666666
EK202310186665,0.3
EK202310156519,0.0
EK202310108430,0.2
EK202310164930,0.06666666666666667
EK202310153971,0.5
EK202310129412,0.0
EK202310124383,0.1
EK202310215858,0.16666666666666666
EK202310104131,0.06666666666666667
EK202310185040,0.16666666666666666
EK202310119251,0.03333333333333333
EK202310191724,0.16666666666666666
EK202310149922,0.0
EK202310176193,0.23333333333333334
EK202310204311,0.1
EK202310248324,0.36666666666666664
EK202310120496,0.03333333333333333
EK202310233548,0.13333333333333333
EK202310219178,0.03333333333333333
EK202310114723,0.0
EK202310185832,0.3333333333333333
EK202310106587,0.1
EK202310239252,0.03333333333333333
EK202310208710,0.1
EK202310244056,0.0
